case_number,file_count
1,452
2,673
3,862
4,941
5,508
7,502
9,226
11,575
12,424
14,912
15,2132
16,177
17,502
18,960
19,2445
21,710
22,745
23,889
24,945
25,467
26,871
27,871
28,1052
30,625
32,401
34,588
36,609
38,2216
038,589
39,485
40,1058
041,1724
41,1
42,444
43,422
44,933
45,176
46,209
47,1236
48,984
49,144
50,1982
51,750
052,571
053,582
054,609
055,899
056,431
057,1142
058,785
059,371
060,739
061,813
063,567
064,1622
065,753
066,762
067,98
068,516
069,487
070,1002
072,438
073,1797
075,724
077,348
78,412
79,1328
80,542
82,1748
83,2019
84,1181
85,569
86,1266
87,1346
88,203
089,703
090,379
91,530
92,471
93,628
94,678
95,381
96,869
97,2378
98,1164
99,245
100,635
101,1120
104,3818
106,452
107,1002
108,1156
109,798
110,771
111,579
114,371
115,521
116,638
117,821
118,913
119,487
