number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.5848040247664732,2026-02-14 16:19:31.609597,2026-02-14 17:57:20.036803,0 days 01:37:48.427206,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.7058823529411765,COMPLETE
1,0.5770008388687583,2026-02-14 17:57:20.041134,2026-02-14 19:30:59.458744,0 days 01:33:39.417610,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.7058823529411765,COMPLETE
2,0.5008929428808829,2026-02-14 19:30:59.460834,2026-02-14 21:03:59.142251,0 days 01:32:59.681417,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.7058823529411765,COMPLETE
3,0.5825874630142661,2026-02-14 21:03:59.144299,2026-02-14 22:37:11.767455,0 days 01:33:12.623156,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.7058823529411765,COMPLETE
4,0.5933449268341064,2026-02-14 22:37:11.770537,2026-02-15 00:08:30.152260,0 days 01:31:18.381723,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,0.7058823529411765,COMPLETE
5,0.5755272244705874,2026-02-15 00:08:30.153862,2026-02-15 01:39:09.743439,0 days 01:30:39.589577,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,0.7058823529411765,COMPLETE
6,0.5779062544598299,2026-02-15 01:39:09.755060,2026-02-15 03:10:08.930807,0 days 01:30:59.175747,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,0.7058823529411765,COMPLETE
7,0.5835274615708519,2026-02-15 03:10:08.932493,2026-02-15 04:39:24.484244,0 days 01:29:15.551751,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.7058823529411765,COMPLETE
8,0.5945716535343843,2026-02-15 04:39:24.489831,2026-02-15 06:07:17.073133,0 days 01:27:52.583302,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,0.7058823529411765,COMPLETE
9,0.5585239343345165,2026-02-15 06:07:17.074731,2026-02-15 07:37:26.353561,0 days 01:30:09.278830,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,0.7058823529411765,COMPLETE
