number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.5614300019600812,2026-02-15 22:08:25.836617,2026-02-16 00:11:24.077862,0 days 02:02:58.241245,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.7058823529411765,COMPLETE
1,0.5462036606143502,2026-02-16 00:11:24.079872,2026-02-16 02:11:36.826953,0 days 02:00:12.747081,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.7058823529411765,COMPLETE
2,0.6266299678998835,2026-02-16 02:11:36.835729,2026-02-16 04:11:29.887476,0 days 01:59:53.051747,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.7058823529411765,COMPLETE
3,0.5676265534232644,2026-02-16 04:11:29.889524,2026-02-16 06:08:54.017664,0 days 01:57:24.128140,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.7058823529411765,COMPLETE
4,0.3656065607279101,2026-02-16 06:08:54.019227,2026-02-16 08:06:04.903230,0 days 01:57:10.884003,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,0.7647058823529411,COMPLETE
5,0.822110202136066,2026-02-16 08:06:04.904931,2026-02-16 09:06:22.449251,0 days 01:00:17.544320,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,,PRUNED
6,0.6436167648199069,2026-02-16 09:06:22.450390,2026-02-16 10:07:42.380629,0 days 01:01:19.930239,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,,PRUNED
7,0.45130744373754544,2026-02-16 10:07:42.381676,2026-02-16 15:02:11.005212,0 days 04:54:28.623536,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.7647058823529411,COMPLETE
8,0.38587791000506566,2026-02-16 15:02:11.006955,2026-02-16 20:00:17.797712,0 days 04:58:06.790757,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,0.8823529411764706,COMPLETE
9,0.9058936345664894,2026-02-16 20:00:17.800836,2026-02-16 22:31:32.141780,0 days 02:31:14.340944,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,,PRUNED
