number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.35938038468994865,2026-02-26 21:13:53.672749,2026-02-27 00:03:07.561006,0 days 02:49:13.888257,1.812037280884873,0.379597545259111,0.00020511104188433984,0.00018272261776066238,0.4195981825434215,0.0004463590152176814,0.8947368421052632,COMPLETE
1,0.5067193273398994,2026-02-27 00:03:07.563296,2026-02-27 02:37:27.841863,0 days 02:34:20.278567,1.541168988591605,0.4124217733388137,0.008706020878304856,0.00010979908036596662,0.3803345035229626,0.00036740592026352257,0.8947368421052632,COMPLETE
2,0.41816024422379133,2026-02-27 02:37:27.843558,2026-02-27 05:03:59.702589,0 days 02:26:31.859031,2.1084844859190754,0.2550213529560302,0.0011207606211860567,0.0003818145165896873,0.2545474901621302,8.152843673110742e-05,0.8947368421052632,COMPLETE
3,0.25386953459698514,2026-02-27 05:03:59.703594,2026-02-27 06:58:24.805658,0 days 01:54:25.102064,2.0842892970704363,0.24184815819561256,0.0005404103854647331,0.0002004087187654155,0.38355586841671385,9.776854331372622e-05,0.8947368421052632,COMPLETE
4,0.8050490359034332,2026-02-27 06:58:24.806540,2026-02-27 07:56:36.379266,0 days 00:58:11.572726,2.684829137724085,0.3542703315240835,0.0001238513729886094,0.000208343156115295,0.25990213464750794,0.0003048919554765758,,PRUNED
5,0.5140497924845674,2026-02-27 07:56:36.380180,2026-02-27 09:33:04.657075,0 days 01:36:28.276895,3.4312640661491187,0.48466566117599996,0.004138040112561018,0.0002658616083788976,0.21951547789558387,7.404472559987598e-05,0.8947368421052632,COMPLETE
6,0.27291261176999404,2026-02-27 09:33:04.658018,2026-02-27 12:28:36.218819,0 days 02:55:31.560801,1.7440764696895577,0.33204574812188037,0.0009780337016659412,0.00016327356954687938,0.40526990795364704,6.260977143530197e-05,0.8947368421052632,COMPLETE
7,0.7024278338824773,2026-02-27 12:28:36.219783,2026-02-27 13:28:13.317544,0 days 00:59:37.097761,2.123422152178822,0.39875668530619457,0.001096821720752952,0.00010569064414047033,0.2776339944800051,0.0004057797837985251,,PRUNED
8,0.7663389814929136,2026-02-27 13:28:13.318532,2026-02-27 13:38:01.811892,0 days 00:09:48.493360,3.3789978831283785,0.43253984700833437,0.006161049539380964,0.00024106495902171608,0.49087538832936756,7.652872182750095e-05,,PRUNED
9,0.2361700649668915,2026-02-27 13:38:01.812862,2026-02-27 14:39:52.912303,0 days 01:01:51.099441,1.5904545778210761,0.2587948587257436,0.0004473636174621269,0.00026176655097040057,0.22654775061557586,0.0004176805377655882,0.8947368421052632,COMPLETE
