number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.59096178763053,2026-02-14 16:20:35.236359,2026-02-14 18:25:12.946510,0 days 02:04:37.710151,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.7058823529411765,COMPLETE
1,0.5815850513822892,2026-02-14 18:25:12.950831,2026-02-14 20:24:19.375962,0 days 01:59:06.425131,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.7058823529411765,COMPLETE
2,0.5886381945627577,2026-02-14 20:24:19.377353,2026-02-14 22:23:30.448771,0 days 01:59:11.071418,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.7058823529411765,COMPLETE
3,0.579450910582262,2026-02-14 22:23:30.453299,2026-02-15 00:21:36.503588,0 days 01:58:06.050289,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.7058823529411765,COMPLETE
4,0.5806166187805288,2026-02-15 00:21:36.505008,2026-02-15 02:17:56.701979,0 days 01:56:20.196971,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,0.7058823529411765,COMPLETE
5,0.5762303199838189,2026-02-15 02:17:56.710330,2026-02-15 04:08:46.412332,0 days 01:50:49.702002,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,0.7058823529411765,COMPLETE
6,0.5767866513308357,2026-02-15 04:08:46.413801,2026-02-15 05:57:45.888690,0 days 01:48:59.474889,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,0.7058823529411765,COMPLETE
7,0.5867540512014838,2026-02-15 05:57:45.890249,2026-02-15 07:43:26.888926,0 days 01:45:40.998677,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.7058823529411765,COMPLETE
8,0.6012505564619514,2026-02-15 07:43:26.893380,2026-02-15 09:26:12.106387,0 days 01:42:45.213007,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,0.7058823529411765,COMPLETE
9,0.5563450506066575,2026-02-15 09:26:12.107938,2026-02-15 11:15:35.419482,0 days 01:49:23.311544,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,0.7058823529411765,COMPLETE
