number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.409988165138844,2026-02-26 17:54:20.492929,2026-02-26 19:40:16.525914,0 days 01:45:56.032985,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.8235294117647058,COMPLETE
1,0.31494291564997506,2026-02-26 19:40:16.528771,2026-02-26 21:20:41.068636,0 days 01:40:24.539865,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.8235294117647058,COMPLETE
2,0.4536110060837339,2026-02-26 21:20:41.069893,2026-02-26 22:53:24.538525,0 days 01:32:43.468632,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.8235294117647058,COMPLETE
3,0.5100629670435891,2026-02-26 22:53:24.540056,2026-02-27 00:30:35.712866,0 days 01:37:11.172810,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.7058823529411765,COMPLETE
4,0.4998134530067225,2026-02-27 00:30:35.714579,2026-02-27 01:19:13.955115,0 days 00:48:38.240536,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,,PRUNED
5,0.6400214938591271,2026-02-27 01:19:13.963659,2026-02-27 02:06:29.355093,0 days 00:47:15.391434,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,,PRUNED
6,0.5461935544085196,2026-02-27 02:06:29.356066,2026-02-27 02:53:33.025754,0 days 00:47:03.669688,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,,PRUNED
7,0.3704393290065448,2026-02-27 02:53:33.027940,2026-02-27 04:32:10.800004,0 days 01:38:37.772064,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.8235294117647058,COMPLETE
8,0.5649982784199946,2026-02-27 04:32:10.801103,2026-02-27 05:10:39.327379,0 days 00:38:28.526276,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,,PRUNED
9,0.4887744780327707,2026-02-27 05:10:39.328533,2026-02-27 05:49:37.597579,0 days 00:38:58.269046,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,,PRUNED
