number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.4891718942586415,2026-02-25 19:47:25.624697,2026-02-25 21:30:46.684628,0 days 01:43:21.059931,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.7647058823529411,COMPLETE
1,0.40275547764373615,2026-02-25 21:30:46.687950,2026-02-25 23:03:02.723043,0 days 01:32:16.035093,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.8235294117647058,COMPLETE
2,0.35920022165074067,2026-02-25 23:03:02.725085,2026-02-26 00:24:50.725824,0 days 01:21:48.000739,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.8235294117647058,COMPLETE
3,0.4485787878614193,2026-02-26 00:24:50.726810,2026-02-26 01:57:14.589132,0 days 01:32:23.862322,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.8235294117647058,COMPLETE
4,0.6437116241497399,2026-02-26 01:57:14.599306,2026-02-26 02:51:38.942497,0 days 00:54:24.343191,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,,PRUNED
5,0.3150869778049074,2026-02-26 02:51:38.943472,2026-02-26 04:27:52.882508,0 days 01:36:13.939036,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,0.8823529411764706,COMPLETE
6,0.39197519797867514,2026-02-26 04:27:52.883667,2026-02-26 05:53:03.081726,0 days 01:25:10.198059,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,0.8235294117647058,COMPLETE
7,0.3707171804614036,2026-02-26 05:53:03.082762,2026-02-26 07:16:38.144808,0 days 01:23:35.062046,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.7647058823529411,COMPLETE
8,1.0516375398908338,2026-02-26 07:16:38.145846,2026-02-26 08:00:21.008649,0 days 00:43:42.862803,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,,PRUNED
9,0.42222181305495565,2026-02-26 08:00:21.009788,2026-02-26 09:33:22.144025,0 days 01:33:01.134237,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,0.8235294117647058,COMPLETE
