number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_classifier_dropout,params_coeff_dropout,params_entropy_coeff,params_learning_rate,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_accuracy,state
0,0.35982590470709563,2026-02-27 16:30:04.765419,2026-02-27 17:29:33.979671,0 days 00:59:29.214252,1.624074561769746,0.2993292420985183,0.36599697090570255,0.07799726016810132,5.6115164153345e-05,0.0007114476009343421,8.0,0.8235294117647058,COMPLETE
1,0.18502662651264792,2026-02-27 17:29:34.144104,2026-02-27 18:09:58.488254,0 days 00:40:24.344150,1.0823379771832098,0.35403628889802274,0.3005575058716044,0.48495492608099716,1.3066739238053272e-05,0.0003967605077052988,29.0,0.9411764705882353,COMPLETE
2,0.35737079277853756,2026-02-27 18:09:58.658900,2026-02-27 18:44:28.021319,0 days 00:34:29.362419,2.216968971838151,0.09170225492671691,0.09091248360355031,0.2623782158161189,0.000462258900102083,4.335281794951567e-06,4.0,0.8823529411764706,COMPLETE
3,0.31699769105762243,2026-02-27 18:44:28.170555,2026-02-27 21:40:02.708876,0 days 02:55:34.538321,2.1685785941408726,0.06974693032602092,0.30592644736118974,0.18318092164684585,7.309539835912905e-05,7.4763120622522945e-06,3.0,0.8235294117647058,COMPLETE
4,0.3523524897515445,2026-02-27 21:40:02.871182,2026-02-27 23:22:45.581112,0 days 01:42:42.709930,3.36965827544817,0.2571172192068058,0.09983689107917987,0.023225206359998862,8.168455894760161e-05,0.0002267398652378039,4.0,0.7647058823529411,COMPLETE
5,0.38112598679521503,2026-02-27 23:22:45.762447,2026-02-27 23:55:38.586874,0 days 00:32:52.824427,4.862528132298237,0.4744427686266666,0.03252579649263976,0.40419867405823057,0.000164092867306479,3.247673570627449e-06,2.0,0.7647058823529411,COMPLETE
6,0.3196647779139526,2026-02-27 23:55:38.734089,2026-02-28 00:27:59.281601,0 days 00:32:20.547512,1.4881529393791153,0.22007624686980065,0.34211651325607845,0.2475884550556351,4.066563313514796e-05,1.9634341572933354e-06,7.0,0.8235294117647058,COMPLETE
7,0.45105768389561596,2026-02-28 00:27:59.428420,2026-02-28 00:38:24.980370,0 days 00:10:25.551950,2.246844304357644,0.331261142176991,0.12938999080000846,0.2600340105889054,1.1715937392307055e-05,0.0005345166110646819,,,PRUNED
8,0.23423526333371067,2026-02-28 00:38:25.128388,2026-02-28 01:11:09.972213,0 days 00:32:44.843825,4.757995766256757,0.3875664116805573,0.4847923138822793,0.4474136752138244,0.00012399967836846095,3.5856126103453987e-06,4.0,0.9411764705882353,COMPLETE
9,0.36804167290136,2026-02-28 01:11:10.122980,2026-02-28 01:46:04.318832,0 days 00:34:54.195852,1.1809091556421523,0.0979914312095726,0.04424625102595975,0.16266516538163217,0.0001569639638866114,0.0005829384542994739,4.0,0.7647058823529411,COMPLETE
