case_id,stain,slice_idx,patch_idx,patch_attn_weight,slice_attn_weight,stain_attn_weight,effective_weight,true_label,pred_label
1,sox10,0,47,0.013736257329583168,1.0,0.699439525604248,0.009607681310181526,1,1
1,melan,0,44,0.0781097263097763,0.43682318925857544,0.28475216031074524,0.009715783506408882,1,1
1,melan,0,43,0.07887057960033417,0.43682318925857544,0.28475216031074524,0.009810423267683704,1,1
1,sox10,0,4,0.014533122070133686,1.0,0.699439525604248,0.010165040006282933,1,1
1,sox10,0,25,0.015026984736323357,1.0,0.699439525604248,0.010510467075236285,1,1
1,melan,1,48,0.07292050868272781,0.5631767511367798,0.28475216031074524,0.01169395545776689,1,1
1,melan,0,10,0.09648910909891129,0.43682318925857544,0.28475216031074524,0.012001927788267705,1,1
1,sox10,0,57,0.017783859744668007,1.0,0.699439525604248,0.012438734423223075,1,1
1,sox10,0,11,0.019547726958990097,1.0,0.699439525604248,0.013672452870837404,1,1
1,melan,1,26,0.09893174469470978,0.5631767511367798,0.28475216031074524,0.015865268039375727,1,1
1,sox10,0,33,0.023563964292407036,1.0,0.699439525604248,0.016481568006036618,1,1
1,sox10,0,20,0.024143142625689507,1.0,0.699439525604248,0.016886668224707968,1,1
1,sox10,0,61,0.024645263329148293,1.0,0.699439525604248,0.017237871291331253,1,1
1,melan,1,8,0.13510330021381378,0.5631767511367798,0.28475216031074524,0.021665948351672216,1,1
1,melan,0,28,0.19751940667629242,0.43682318925857544,0.28475216031074524,0.024568717421571594,1,1
1,melan,1,21,0.1655186116695404,0.5631767511367798,0.28475216031074524,0.026543523999764486,1,1
1,sox10,0,49,0.05402373895049095,1.0,0.699439525604248,0.03778633834289913,1,1
1,sox10,0,12,0.07082796841859818,1.0,0.699439525604248,0.04953988063021697,1,1
1,sox10,0,54,0.0833142027258873,1.0,0.699439525604248,0.05827324643069076,1,1
1,sox10,0,32,0.09553445130586624,1.0,0.699439525604248,0.06682057130023722,1,1
1,sox10,0,27,0.13485084474086761,1.0,0.699439525604248,0.09432001087288455,1,1
1,sox10,0,10,0.28574880957603455,1.0,0.699439525604248,0.19986401181184021,1,1
3,melan,1,73,0.01009779330343008,0.607999861240387,0.6344774961471558,0.003895347258949049,1,1
3,melan,0,78,0.01591993309557438,0.39200013875961304,0.6344774961471558,0.0039595304029981775,1,1
3,sox10,0,100,0.014519850723445415,1.0,0.27333858609199524,0.003968835467013404,1,1
3,melan,1,74,0.010424881242215633,0.607999861240387,0.6344774961471558,0.004021525431495995,1,1
3,melan,1,35,0.01081571914255619,0.607999861240387,0.6344774961471558,0.004172295931350437,1,1
3,sox10,0,13,0.01655132882297039,1.0,0.27333858609199524,0.004524116818414414,1,1
3,melan,1,81,0.011994371190667152,0.607999861240387,0.6344774961471558,0.004626975373373095,1,1
3,sox10,0,69,0.01703907735645771,1.0,0.27333858609199524,0.0046574373129262825,1,1
3,melan,1,28,0.01279277540743351,0.607999861240387,0.6344774961471558,0.004934969564168994,1,1
3,h&e,0,107,0.21682468056678772,0.2581079304218292,0.0921839028596878,0.00515899557084618,1,1
3,sox10,0,88,0.01925519108772278,1.0,0.27333858609199524,0.005263186706849332,1,1
3,sox10,0,61,0.022272076457738876,1.0,0.27333858609199524,0.006087817888291158,1,1
3,sox10,0,36,0.023596372455358505,1.0,0.27333858609199524,0.006449799083847796,1,1
3,melan,0,120,0.026383554562926292,0.39200013875961304,0.6344774961471558,0.0065619928051147925,1,1
3,melan,1,16,0.01922357641160488,0.607999861240387,0.6344774961471558,0.007415729697765364,1,1
3,sox10,0,103,0.02788671851158142,1.0,0.27333858609199524,0.0076225162087011356,1,1
3,h&e,3,87,0.1796882599592209,0.46953085064888,0.0921839028596878,0.00777748043638146,1,1
3,melan,1,105,0.02149837836623192,0.607999861240387,0.6344774961471558,0.008293262371720808,1,1
3,melan,1,64,0.025336967781186104,0.607999861240387,0.6344774961471558,0.009774045183020125,1,1
3,melan,0,88,0.04021289572119713,0.39200013875961304,0.6344774961471558,0.010001561077222018,1,1
3,melan,0,108,0.04055323451757431,0.39200013875961304,0.6344774961471558,0.01008620853167331,1,1
3,melan,0,57,0.04409782215952873,0.39200013875961304,0.6344774961471558,0.010967801591779307,1,1
3,sox10,0,101,0.042677294462919235,1.0,0.27333858609199524,0.011665351326726081,1,1
3,melan,1,42,0.03209088742733002,0.607999861240387,0.6344774961471558,0.01237945228437484,1,1
3,sox10,0,35,0.045486535876989365,1.0,0.27333858609199524,0.012433225402839088,1,1
3,sox10,0,44,0.04916669428348541,1.0,0.27333858609199524,0.013439154698265288,1,1
3,melan,0,125,0.05442400276660919,0.39200013875961304,0.6344774961471558,0.01353608035370146,1,1
3,melan,1,76,0.04138040542602539,0.607999861240387,0.6344774961471558,0.015962997459624567,1,1
3,melan,0,54,0.06431861966848373,0.39200013875961304,0.6344774961471558,0.015997022633658847,1,1
3,melan,1,37,0.041712723672389984,0.607999861240387,0.6344774961471558,0.01609119328728479,1,1
3,melan,1,36,0.04803256317973137,0.607999861240387,0.6344774961471558,0.018529148666462318,1,1
3,melan,1,94,0.053363900631666183,0.607999861240387,0.6344774961471558,0.020585777288764606,1,1
3,melan,1,75,0.057078294456005096,0.607999861240387,0.6344774961471558,0.0220186501321195,1,1
3,melan,1,82,0.0661596953868866,0.607999861240387,0.6344774961471558,0.025521911603267868,1,1
3,sox10,0,120,0.09741988778114319,1.0,0.27333858609199524,0.026628614383338522,1,1
3,melan,1,20,0.0786619484424591,0.607999861240387,0.6344774961471558,0.030344808617229206,1,1
3,melan,1,72,0.08016367256641388,0.607999861240387,0.6344774961471558,0.030924117063556564,1,1
3,melan,1,103,0.08135931193828583,0.607999861240387,0.6344774961471558,0.031385349573468495,1,1
3,sox10,0,102,0.12130991369485855,1.0,0.27333858609199524,0.033158680288294606,1,1
3,melan,1,104,0.0978320762515068,0.607999861240387,0.6344774961471558,0.03773991986290216,1,1
3,sox10,0,37,0.14690499007701874,1.0,0.27333858609199524,0.04015480227751089,1,1
3,sox10,0,99,0.14883559942245483,1.0,0.27333858609199524,0.04068251230628839,1,1
3,melan,0,107,0.4129857122898102,0.39200013875961304,0.6344774961471558,0.10271585150505079,1,1
7,melan,0,14,0.002043659333139658,1.0,0.9675692915916443,0.001977382013220591,1,1
7,melan,0,12,0.0021194801665842533,1.0,0.9675692915916443,0.002050743923324466,1,1
7,melan,0,0,0.002205726457759738,1.0,0.9675692915916443,0.0021341931861795366,1,1
7,sox10,0,30,0.14618493616580963,1.0,0.0158653873950243,0.002319280643587468,1,1
7,melan,0,58,0.002440958982333541,1.0,0.9675692915916443,0.002361796953340725,1,1
7,melan,0,61,0.0025003168266266584,1.0,0.9675692915916443,0.002419229780693824,1,1
7,melan,0,64,0.0028580885846167803,1.0,0.9675692915916443,0.0027653987471238234,1,1
7,melan,0,47,0.0028964087832719088,1.0,0.9675692915916443,0.002802476194590217,1,1
7,melan,0,60,0.003047639038413763,1.0,0.9675692915916443,0.0029488019454250447,1,1
7,melan,0,31,0.0030734629835933447,1.0,0.9675692915916443,0.002973788401768554,1,1
7,sox10,0,25,0.19984988868236542,1.0,0.0158653873950243,0.0031706959047982097,1,1
7,melan,0,68,0.003517234930768609,1.0,0.9675692915916443,0.003403168510325169,1,1
7,melan,0,74,0.0037034046836197376,1.0,0.9675692915916443,0.003583300646207127,1,1
7,melan,0,43,0.004877148196101189,1.0,0.9675692915916443,0.004718978825089093,1,1
7,melan,0,62,0.012749578803777695,1.0,0.9675692915916443,0.012336100931263028,1,1
7,melan,0,19,0.020540082827210426,1.0,0.9675692915916443,0.01987395339035769,1,1
7,melan,0,21,0.02310059778392315,1.0,0.9675692915916443,0.02235142903313403,1,1
7,melan,0,22,0.0299747996032238,1.0,0.9675692915916443,0.029002695617692753,1,1
7,melan,0,59,0.04585503414273262,1.0,0.9675692915916443,0.04436792290139446,1,1
7,melan,0,24,0.08635426312685013,1.0,0.9675692915916443,0.08355373319956483,1,1
7,melan,0,63,0.11262217909097672,1.0,0.9675692915916443,0.10896976204056363,1,1
7,melan,0,69,0.12798160314559937,1.0,0.9675692915916443,0.12383106909235053,1,1
7,melan,0,78,0.15025031566619873,1.0,0.9675692915916443,0.14537759149056484,1,1
7,melan,0,57,0.15377402305603027,1.0,0.9675692915916443,0.1487870225535204,1,1
7,melan,0,55,0.17630210518836975,1.0,0.9675692915916443,0.17058450302322647,1,1
21,h&e,0,83,0.029445406049489975,0.15980949997901917,0.6324572563171387,0.0029761260409846063,0,1
21,melan,1,36,0.02203797549009323,0.3780154585838318,0.3675428032875061,0.003061887144747272,0,1
21,melan,1,60,0.023857787251472473,0.3780154585838318,0.3675428032875061,0.003314726079091845,0,1
21,h&e,2,73,0.007609257474541664,0.6962340474128723,0.6324572563171387,0.003350647313272109,0,1
21,h&e,0,7,0.03330937772989273,0.15980949997901917,0.6324572563171387,0.0033666680060145935,0,1
21,h&e,1,141,0.03800144046545029,0.1439564973115921,0.6324572563171387,0.0034598917392058134,0,1
21,melan,0,116,0.016050152480602264,0.6219844818115234,0.3675428032875061,0.0036691598747120332,0,1
21,h&e,2,151,0.009591903537511826,0.6962340474128723,0.6324572563171387,0.004223682261331957,0,1
21,h&e,2,78,0.010379340499639511,0.6962340474128723,0.6324572563171387,0.00457042089520677,0,1
21,melan,1,107,0.03882506862282753,0.3780154585838318,0.3675428032875061,0.005394233175529472,0,1
21,h&e,2,171,0.01255662553012371,0.6962340474128723,0.6324572563171387,0.005529162830543751,0,1
21,h&e,2,91,0.013260561041533947,0.6962340474128723,0.6324572563171387,0.005839132579617804,0,1
21,melan,1,105,0.044770363718271255,0.3780154585838318,0.3675428032875061,0.006220253815794334,0,1
21,h&e,2,27,0.01538228988647461,0.6962340474128723,0.6324572563171387,0.006773411000025779,0,1
21,melan,1,35,0.05172444507479668,0.3780154585838318,0.3675428032875061,0.007186432052930661,0,1
21,h&e,0,60,0.07503511011600494,0.15980949997901917,0.6324572563171387,0.007583999515206475,0,1
21,h&e,0,75,0.08446810394525528,0.15980949997901917,0.6324572563171387,0.008537417462050013,0,1
21,melan,0,84,0.0428529754281044,0.6219844818115234,0.3675428032875061,0.009796443874464758,0,1
21,melan,0,82,0.048200901597738266,0.6219844818115234,0.3675428032875061,0.011019011456813775,0,1
21,melan,1,1,0.08568956702947617,0.3780154585838318,0.3675428032875061,0.011905439492137434,0,1
21,h&e,1,49,0.14971694350242615,0.1439564973115921,0.6324572563171387,0.01363117844214724,0,1
21,h&e,2,28,0.03673870861530304,0.6962340474128723,0.6324572563171387,0.016177459591399452,0,1
21,melan,1,102,0.12409836798906326,0.3780154585838318,0.3675428032875061,0.017241837745061477,0,1
21,melan,0,118,0.08454667776823044,0.6219844818115234,0.3675428032875061,0.019327871058067266,0,1
21,h&e,1,48,0.23019234836101532,0.1439564973115921,0.6324572563171387,0.020958168815910082,0,1
21,h&e,2,172,0.04837503284215927,0.6962340474128723,0.6324572563171387,0.02130137853323122,0,1
21,h&e,1,47,0.267869770526886,0.1439564973115921,0.6324572563171387,0.024388559877659043,0,1
21,melan,1,104,0.22990842163562775,0.3780154585838318,0.3675428032875061,0.031942754496288174,0,1
21,melan,0,81,0.14248494803905487,0.6219844818115234,0.3675428032875061,0.03257290263922226,0,1
21,h&e,2,177,0.08249589800834656,0.6962340474128723,0.6324572563171387,0.03632610145502875,0,1
21,h&e,2,173,0.10840131342411041,0.6962340474128723,0.6324572563171387,0.04773324740224291,0,1
21,h&e,2,176,0.13229937851428986,0.6962340474128723,0.6324572563171387,0.0582564801690031,0,1
21,h&e,2,175,0.15063709020614624,0.6962340474128723,0.6324572563171387,0.06633127650983504,0,1
21,h&e,2,174,0.15276426076889038,0.6962340474128723,0.6324572563171387,0.06726795112687571,0,1
21,melan,0,115,0.45093682408332825,0.6219844818115234,0.3675428032875061,0.10308682755234119,0,1
28,h&e,3,90,0.14423154294490814,0.2120695412158966,0.11446131765842438,0.0035010417313529065,0,0
28,sox10,0,162,0.004574798047542572,1.0,0.7745540738105774,0.0035434284645847747,0,0
28,sox10,0,25,0.004644261207431555,1.0,0.7745540738105774,0.0035972314380565418,0,0
28,sox10,0,43,0.004959797021001577,1.0,0.7745540738105774,0.0038416309878903376,0,0
28,sox10,0,34,0.005060719791799784,1.0,0.7745540738105774,0.0039198011311523395,0,0
28,sox10,0,37,0.005153257865458727,1.0,0.7745540738105774,0.003991476873087457,0,0
28,sox10,0,36,0.005330688785761595,1.0,0.7745540738105774,0.0041289067152280035,0,0
28,sox10,0,32,0.005505084991455078,1.0,0.7745540738105774,0.004263986006804998,0,0
28,sox10,0,75,0.0055402712896466255,1.0,0.7745540738105774,0.004291239697411575,0,0
28,sox10,0,50,0.005543471314013004,1.0,0.7745540738105774,0.004293718289320847,0,0
28,sox10,0,89,0.005560926161706448,1.0,0.7745540738105774,0.004307238012709547,0,0
28,melan,1,45,0.05825696140527725,0.6723719835281372,0.11098465323448181,0.004347307566920434,0,0
28,sox10,0,158,0.00571049377322197,1.0,0.7745540738105774,0.004423086215519012,0,0
28,h&e,3,102,0.1855221539735794,0.2120695412158966,0.11446131765842438,0.00450332007749565,0,0
28,sox10,0,18,0.0059353057295084,1.0,0.7745540738105774,0.004597215232101992,0,0
28,sox10,0,55,0.006711442023515701,1.0,0.7745540738105774,0.005198374760457591,0,0
28,sox10,0,101,0.006833345629274845,1.0,0.7745540738105774,0.005292795694910535,0,0
28,sox10,0,45,0.007214679848402739,1.0,0.7745540738105774,0.00558815966781942,0,0
28,h&e,2,77,0.3048609793186188,0.16336703300476074,0.11446131765842438,0.005700658210860127,0,0
28,sox10,0,31,0.007908093743026257,1.0,0.7745540738105774,0.006125246224736924,0,0
28,sox10,0,88,0.008631231263279915,1.0,0.7745540738105774,0.006685355336974674,0,0
28,sox10,0,166,0.008663937449455261,1.0,0.7745540738105774,0.006710688046715596,0,0
28,sox10,0,44,0.008739358745515347,1.0,0.7745540738105774,0.006769105918831009,0,0
28,sox10,0,58,0.009001894854009151,1.0,0.7745540738105774,0.006972454331187261,0,0
28,sox10,0,60,0.009169182740151882,1.0,0.7745540738105774,0.007102027844898273,0,0
28,sox10,0,63,0.00938912108540535,1.0,0.7745540738105774,0.007272381986201504,0,0
28,sox10,0,164,0.009420301765203476,1.0,0.7745540738105774,0.007296533108763326,0,0
28,sox10,0,163,0.010835840366780758,1.0,0.7745540738105774,0.008392944299251137,0,0
28,sox10,0,19,0.010909066535532475,1.0,0.7745540738105774,0.00844966192656732,0,0
28,sox10,0,113,0.014878502115607262,1.0,0.7745540738105774,0.011524204425842899,0,0
28,sox10,0,9,0.016110828146338463,1.0,0.7745540738105774,0.01247870757320857,0,0
28,sox10,0,48,0.016372522339224815,1.0,0.7745540738105774,0.012681403876401265,0,0
28,sox10,0,12,0.01795046590268612,1.0,0.7745540738105774,0.013903606491723397,0,0
28,sox10,0,62,0.0186165664345026,1.0,0.7745540738105774,0.014419537372209246,0,0
28,sox10,0,47,0.0195071492344141,1.0,0.7745540738105774,0.015109341907946328,0,0
28,sox10,0,8,0.01957603171467781,1.0,0.7745540738105774,0.015162695113648761,0,0
28,sox10,0,68,0.020451480522751808,1.0,0.7745540738105774,0.01584077755435509,0,0
